instrument_key,venue,instrument_type,symbol,venue_type,tardis_exchange,data_provider,asset_class,available_from_datetime,available_to_datetime,data_types,base_asset,quote_asset,settle_asset,exchange_raw_symbol,tardis_symbol,inverse,strike,option_type,expiry,contract_size,tick_size,underlying,min_size,ccxt_symbol,ccxt_exchange,base_asset_contract_address,quote_asset_contract_address,pool_address,pool_fee_tier
BINANCE-SPOT:SPOT_PAIR:NEO-USDT,BINANCE-SPOT,SPOT_PAIR,NEO-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",NEO,USDT,USDT,neousdt,neousdt,False,,,,,0.001,,0.01,NEO/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:LTC-USDT,BINANCE-SPOT,SPOT_PAIR,LTC-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",LTC,USDT,USDT,ltcusdt,ltcusdt,False,,,,,0.01,,0.001,LTC/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:BTC-USDT,BINANCE-SPOT,SPOT_PAIR,BTC-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",BTC,USDT,USDT,btcusdt,btcusdt,False,,,,,0.01,,1e-05,BTC/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ETH-USDT,BINANCE-SPOT,SPOT_PAIR,ETH-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",ETH,USDT,USDT,ethusdt,ethusdt,False,,,,,0.01,,0.0001,ETH/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ETC-USDT,BINANCE-SPOT,SPOT_PAIR,ETC-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",ETC,USDT,USDT,etcusdt,etcusdt,False,,,,,0.01,,0.01,ETC/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:TRX-USDT,BINANCE-SPOT,SPOT_PAIR,TRX-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",TRX,USDT,USDT,trxusdt,trxusdt,False,,,,,0.0001,,0.1,TRX/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:BNB-USDT,BINANCE-SPOT,SPOT_PAIR,BNB-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",BNB,USDT,USDT,bnbusdt,bnbusdt,False,,,,,0.01,,0.001,BNB/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:XRP-USDT,BINANCE-SPOT,SPOT_PAIR,XRP-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",XRP,USDT,USDT,xrpusdt,xrpusdt,False,,,,,0.0001,,0.1,XRP/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ADA-USDT,BINANCE-SPOT,SPOT_PAIR,ADA-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",ADA,USDT,USDT,adausdt,adausdt,False,,,,,0.0001,,0.1,ADA/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:QTUM-USDT,BINANCE-SPOT,SPOT_PAIR,QTUM-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",QTUM,USDT,USDT,qtumusdt,qtumusdt,False,,,,,0.001,,0.1,QTUM/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:XLM-USDT,BINANCE-SPOT,SPOT_PAIR,XLM-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",XLM,USDT,USDT,xlmusdt,xlmusdt,False,,,,,0.0001,,1.0,XLM/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:IOTA-USDT,BINANCE-SPOT,SPOT_PAIR,IOTA-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",IOTA,USDT,USDT,iotausdt,iotausdt,False,,,,,0.0001,,1.0,IOTA/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ZEC-USDT,BINANCE-SPOT,SPOT_PAIR,ZEC-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",ZEC,USDT,USDT,zecusdt,zecusdt,False,,,,,0.01,,0.001,ZEC/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:DASH-USDT,BINANCE-SPOT,SPOT_PAIR,DASH-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",DASH,USDT,USDT,dashusdt,dashusdt,False,,,,,0.01,,0.001,DASH/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ZRX-USDT,BINANCE-SPOT,SPOT_PAIR,ZRX-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",ZRX,USDT,USDT,zrxusdt,zrxusdt,False,,,,,0.0001,,1.0,ZRX/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:BAT-USDT,BINANCE-SPOT,SPOT_PAIR,BAT-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",BAT,USDT,USDT,batusdt,batusdt,False,,,,,0.0001,,1.0,BAT/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ATOM-USDT,BINANCE-SPOT,SPOT_PAIR,ATOM-USDT,exchange,binance,tardis,crypto,2019-05-03T00:00:00.000Z,,"trades,book_snapshot_5",ATOM,USDT,USDT,atomusdt,atomusdt,False,,,,,0.001,,0.01,ATOM/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:DOGE-USDT,BINANCE-SPOT,SPOT_PAIR,DOGE-USDT,exchange,binance,tardis,crypto,2019-07-05T00:00:00.000Z,,"trades,book_snapshot_5",DOGE,USDT,USDT,dogeusdt,dogeusdt,False,,,,,1e-05,,1.0,DOGE/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:XTZ-USDT,BINANCE-SPOT,SPOT_PAIR,XTZ-USDT,exchange,binance,tardis,crypto,2019-09-24T00:00:00.000Z,,"trades,book_snapshot_5",XTZ,USDT,USDT,xtzusdt,xtzusdt,False,,,,,0.0001,,0.1,XTZ/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:USDC-USDT,BINANCE-SPOT,SPOT_PAIR,USDC-USDT,exchange,binance,tardis,crypto,2019-11-07T00:00:00.000Z,,"trades,book_snapshot_5",USDC,USDT,USDT,usdcusdt,usdcusdt,False,,,,,0.0001,,1.0,USDC/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:VET-USDT,BINANCE-SPOT,SPOT_PAIR,VET-USDT,exchange,binance,tardis,crypto,2019-11-07T00:00:00.000Z,,"trades,book_snapshot_5",VET,USDT,USDT,vetusdt,vetusdt,False,,,,,1e-05,,0.1,VET/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ALGO-USDT,BINANCE-SPOT,SPOT_PAIR,ALGO-USDT,exchange,binance,tardis,crypto,2019-11-07T00:00:00.000Z,,"trades,book_snapshot_5",ALGO,USDT,USDT,algousdt,algousdt,False,,,,,0.0001,,1.0,ALGO/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ONT-USDT,BINANCE-SPOT,SPOT_PAIR,ONT-USDT,exchange,binance,tardis,crypto,2019-11-07T00:00:00.000Z,,"trades,book_snapshot_5",ONT,USDT,USDT,ontusdt,ontusdt,False,,,,,0.0001,,1.0,ONT/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ARPA-USDT,BINANCE-SPOT,SPOT_PAIR,ARPA-USDT,exchange,binance,tardis,crypto,2019-11-07T00:00:00.000Z,,"trades,book_snapshot_5",ARPA,USDT,USDT,arpausdt,arpausdt,False,,,,,1e-05,,0.1,ARPA/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:LINK-USDT,BINANCE-SPOT,SPOT_PAIR,LINK-USDT,exchange,binance,tardis,crypto,2019-11-07T00:00:00.000Z,,"trades,book_snapshot_5",LINK,USDT,USDT,linkusdt,linkusdt,False,,,,,0.01,,0.01,LINK/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:TUSD-USDT,BINANCE-SPOT,SPOT_PAIR,TUSD-USDT,exchange,binance,tardis,crypto,2019-11-07T00:00:00.000Z,,"trades,book_snapshot_5",TUSD,USDT,USDT,tusdusdt,tusdusdt,False,,,,,0.0001,,1.0,TUSD/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:MTL-USDT,BINANCE-SPOT,SPOT_PAIR,MTL-USDT,exchange,binance,tardis,crypto,2019-11-07T00:00:00.000Z,,"trades,book_snapshot_5",MTL,USDT,USDT,mtlusdt,mtlusdt,False,,,,,0.001,,0.1,MTL/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:IOST-USDT,BINANCE-SPOT,SPOT_PAIR,IOST-USDT,exchange,binance,tardis,crypto,2019-11-13T00:00:00.000Z,,"trades,book_snapshot_5",IOST,USDT,USDT,iostusdt,iostusdt,False,,,,,1e-06,,1.0,IOST/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ICX-USDT,BINANCE-SPOT,SPOT_PAIR,ICX-USDT,exchange,binance,tardis,crypto,2019-11-13T00:00:00.000Z,,"trades,book_snapshot_5",ICX,USDT,USDT,icxusdt,icxusdt,False,,,,,0.0001,,0.1,ICX/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:CVC-USDT,BINANCE-SPOT,SPOT_PAIR,CVC-USDT,exchange,binance,tardis,crypto,2019-11-13T00:00:00.000Z,,"trades,book_snapshot_5",CVC,USDT,USDT,cvcusdt,cvcusdt,False,,,,,0.0001,,1.0,CVC/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:RVN-USDT,BINANCE-SPOT,SPOT_PAIR,RVN-USDT,exchange,binance,tardis,crypto,2019-11-13T00:00:00.000Z,,"trades,book_snapshot_5",RVN,USDT,USDT,rvnusdt,rvnusdt,False,,,,,1e-05,,0.1,RVN/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:BCH-USDT,BINANCE-SPOT,SPOT_PAIR,BCH-USDT,exchange,binance,tardis,crypto,2019-11-28T00:00:00.000Z,,"trades,book_snapshot_5",BCH,USDT,USDT,bchusdt,bchusdt,False,,,,,0.1,,0.001,BCH/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:FTT-USDT,BINANCE-SPOT,SPOT_PAIR,FTT-USDT,exchange,binance,tardis,crypto,2019-12-20T00:00:00.000Z,,"trades,book_snapshot_5",FTT,USDT,USDT,fttusdt,fttusdt,False,,,,,0.0001,,0.01,FTT/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:THETA-USDT,BINANCE-SPOT,SPOT_PAIR,THETA-USDT,exchange,binance,tardis,crypto,2020-05-19T00:00:00.000Z,,"trades,book_snapshot_5",THETA,USDT,USDT,thetausdt,thetausdt,False,,,,,0.001,,0.1,THETA/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:LSK-USDT,BINANCE-SPOT,SPOT_PAIR,LSK-USDT,exchange,binance,tardis,crypto,2020-05-19T00:00:00.000Z,,"trades,book_snapshot_5",LSK,USDT,USDT,lskusdt,lskusdt,False,,,,,0.001,,0.1,LSK/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:HBAR-USDT,BINANCE-SPOT,SPOT_PAIR,HBAR-USDT,exchange,binance,tardis,crypto,2020-05-19T00:00:00.000Z,,"trades,book_snapshot_5",HBAR,USDT,USDT,hbarusdt,hbarusdt,False,,,,,1e-05,,1.0,HBAR/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:HIVE-USDT,BINANCE-SPOT,SPOT_PAIR,HIVE-USDT,exchange,binance,tardis,crypto,2020-05-19T00:00:00.000Z,,"trades,book_snapshot_5",HIVE,USDT,USDT,hiveusdt,hiveusdt,False,,,,,0.0001,,1.0,HIVE/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ZIL-USDT,BINANCE-SPOT,SPOT_PAIR,ZIL-USDT,exchange,binance,tardis,crypto,2020-05-19T00:00:00.000Z,,"trades,book_snapshot_5",ZIL,USDT,USDT,zilusdt,zilusdt,False,,,,,1e-05,,0.1,ZIL/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ENJ-USDT,BINANCE-SPOT,SPOT_PAIR,ENJ-USDT,exchange,binance,tardis,crypto,2020-05-19T00:00:00.000Z,,"trades,book_snapshot_5",ENJ,USDT,USDT,enjusdt,enjusdt,False,,,,,1e-05,,0.1,ENJ/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:STX-USDT,BINANCE-SPOT,SPOT_PAIR,STX-USDT,exchange,binance,tardis,crypto,2020-05-19T00:00:00.000Z,,"trades,book_snapshot_5",STX,USDT,USDT,stxusdt,stxusdt,False,,,,,0.0001,,0.1,STX/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:DATA-USDT,BINANCE-SPOT,SPOT_PAIR,DATA-USDT,exchange,binance,tardis,crypto,2020-05-19T00:00:00.000Z,,"trades,book_snapshot_5",DATA,USDT,USDT,datausdt,datausdt,False,,,,,1e-05,,0.1,DATA/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:KNC-USDT,BINANCE-SPOT,SPOT_PAIR,KNC-USDT,exchange,binance,tardis,crypto,2020-06-12T00:00:00.000Z,,"trades,book_snapshot_5",KNC,USDT,USDT,kncusdt,kncusdt,False,,,,,0.0001,,0.1,KNC/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:COMP-USDT,BINANCE-SPOT,SPOT_PAIR,COMP-USDT,exchange,binance,tardis,crypto,2020-06-25T00:00:00.000Z,,"trades,book_snapshot_5",COMP,USDT,USDT,compusdt,compusdt,False,,,,,0.01,,0.001,COMP/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:SC-USDT,BINANCE-SPOT,SPOT_PAIR,SC-USDT,exchange,binance,tardis,crypto,2020-07-06T00:00:00.000Z,,"trades,book_snapshot_5",SC,USDT,USDT,scusdt,scusdt,False,,,,,1e-06,,1.0,SC/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ZEN-USDT,BINANCE-SPOT,SPOT_PAIR,ZEN-USDT,exchange,binance,tardis,crypto,2020-07-06T00:00:00.000Z,,"trades,book_snapshot_5",ZEN,USDT,USDT,zenusdt,zenusdt,False,,,,,0.001,,0.01,ZEN/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:SNX-USDT,BINANCE-SPOT,SPOT_PAIR,SNX-USDT,exchange,binance,tardis,crypto,2020-07-09T00:00:00.000Z,,"trades,book_snapshot_5",SNX,USDT,USDT,snxusdt,snxusdt,False,,,,,0.001,,0.1,SNX/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:BAND-USDT,BINANCE-SPOT,SPOT_PAIR,BAND-USDT,exchange,binance,tardis,crypto,2020-07-20T00:00:00.000Z,,"trades,book_snapshot_5",BAND,USDT,USDT,bandusdt,bandusdt,False,,,,,0.001,,0.1,BAND/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:DGB-USDT,BINANCE-SPOT,SPOT_PAIR,DGB-USDT,exchange,binance,tardis,crypto,2020-07-20T00:00:00.000Z,,"trades,book_snapshot_5",DGB,USDT,USDT,dgbusdt,dgbusdt,False,,,,,1e-05,,0.1,DGB/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:SXP-USDT,BINANCE-SPOT,SPOT_PAIR,SXP-USDT,exchange,binance,tardis,crypto,2020-07-20T00:00:00.000Z,,"trades,book_snapshot_5",SXP,USDT,USDT,sxpusdt,sxpusdt,False,,,,,0.0001,,0.1,SXP/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:KAVA-USDT,BINANCE-SPOT,SPOT_PAIR,KAVA-USDT,exchange,binance,tardis,crypto,2020-07-25T00:00:00.000Z,,"trades,book_snapshot_5",KAVA,USDT,USDT,kavausdt,kavausdt,False,,,,,0.0001,,0.1,KAVA/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:LRC-USDT,BINANCE-SPOT,SPOT_PAIR,LRC-USDT,exchange,binance,tardis,crypto,2020-07-25T00:00:00.000Z,,"trades,book_snapshot_5",LRC,USDT,USDT,lrcusdt,lrcusdt,False,,,,,0.0001,,1.0,LRC/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:DCR-USDT,BINANCE-SPOT,SPOT_PAIR,DCR-USDT,exchange,binance,tardis,crypto,2020-07-30T00:00:00.000Z,,"trades,book_snapshot_5",DCR,USDT,USDT,dcrusdt,dcrusdt,False,,,,,0.01,,0.001,DCR/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:MANA-USDT,BINANCE-SPOT,SPOT_PAIR,MANA-USDT,exchange,binance,tardis,crypto,2020-08-06T00:00:00.000Z,,"trades,book_snapshot_5",MANA,USDT,USDT,manausdt,manausdt,False,,,,,0.0001,,1.0,MANA/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:YFI-USDT,BINANCE-SPOT,SPOT_PAIR,YFI-USDT,exchange,binance,tardis,crypto,2020-08-10T00:00:00.000Z,,"trades,book_snapshot_5",YFI,USDT,USDT,yfiusdt,yfiusdt,False,,,,,1.0,,1e-05,YFI/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:SOL-USDT,BINANCE-SPOT,SPOT_PAIR,SOL-USDT,exchange,binance,tardis,crypto,2020-08-11T00:00:00.000Z,,"trades,book_snapshot_5",SOL,USDT,USDT,solusdt,solusdt,False,,,,,0.01,,0.001,SOL/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:USDTDAI-USDT,BINANCE-SPOT,SPOT_PAIR,USDTDAI-USDT,exchange,binance,tardis,crypto,2020-08-11T00:00:00.000Z,,"trades,book_snapshot_5",USDTDAI,USDT,USDT,usdtdai,usdtdai,False,,,,,,,,,,,,,
BINANCE-SPOT:SPOT_PAIR:CRV-USDT,BINANCE-SPOT,SPOT_PAIR,CRV-USDT,exchange,binance,tardis,crypto,2020-08-17T00:00:00.000Z,,"trades,book_snapshot_5",CRV,USDT,USDT,crvusdt,crvusdt,False,,,,,0.0001,,0.1,CRV/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:DOT-USDT,BINANCE-SPOT,SPOT_PAIR,DOT-USDT,exchange,binance,tardis,crypto,2020-08-18T00:00:00.000Z,,"trades,book_snapshot_5",DOT,USDT,USDT,dotusdt,dotusdt,False,,,,,0.001,,0.01,DOT/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:NMR-USDT,BINANCE-SPOT,SPOT_PAIR,NMR-USDT,exchange,binance,tardis,crypto,2020-08-19T00:00:00.000Z,,"trades,book_snapshot_5",NMR,USDT,USDT,nmrusdt,nmrusdt,False,,,,,0.01,,0.01,NMR/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:PAXG-USDT,BINANCE-SPOT,SPOT_PAIR,PAXG-USDT,exchange,binance,tardis,crypto,2020-08-28T00:00:00.000Z,,"trades,book_snapshot_5",PAXG,USDT,USDT,paxgusdt,paxgusdt,False,,,,,0.01,,0.0001,PAXG/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:SUSHI-USDT,BINANCE-SPOT,SPOT_PAIR,SUSHI-USDT,exchange,binance,tardis,crypto,2020-09-02T00:00:00.000Z,,"trades,book_snapshot_5",SUSHI,USDT,USDT,sushiusdt,sushiusdt,False,,,,,0.0001,,0.1,SUSHI/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:TRB-USDT,BINANCE-SPOT,SPOT_PAIR,TRB-USDT,exchange,binance,tardis,crypto,2020-09-03T00:00:00.000Z,,"trades,book_snapshot_5",TRB,USDT,USDT,trbusdt,trbusdt,False,,,,,0.01,,0.001,TRB/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:RLC-USDT,BINANCE-SPOT,SPOT_PAIR,RLC-USDT,exchange,binance,tardis,crypto,2020-09-03T00:00:00.000Z,,"trades,book_snapshot_5",RLC,USDT,USDT,rlcusdt,rlcusdt,False,,,,,0.001,,0.1,RLC/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:RUNE-USDT,BINANCE-SPOT,SPOT_PAIR,RUNE-USDT,exchange,binance,tardis,crypto,2020-09-04T00:00:00.000Z,,"trades,book_snapshot_5",RUNE,USDT,USDT,runeusdt,runeusdt,False,,,,,0.001,,0.1,RUNE/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:DIA-USDT,BINANCE-SPOT,SPOT_PAIR,DIA-USDT,exchange,binance,tardis,crypto,2020-09-04T00:00:00.000Z,,"trades,book_snapshot_5",DIA,USDT,USDT,diausdt,diausdt,False,,,,,0.0001,,0.1,DIA/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:UMA-USDT,BINANCE-SPOT,SPOT_PAIR,UMA-USDT,exchange,binance,tardis,crypto,2020-09-09T00:00:00.000Z,,"trades,book_snapshot_5",UMA,USDT,USDT,umausdt,umausdt,False,,,,,0.001,,0.1,UMA/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:EGLD-USDT,BINANCE-SPOT,SPOT_PAIR,EGLD-USDT,exchange,binance,tardis,crypto,2020-09-15T00:00:00.000Z,,"trades,book_snapshot_5",EGLD,USDT,USDT,egldusdt,egldusdt,False,,,,,0.01,,0.01,EGLD/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:KSM-USDT,BINANCE-SPOT,SPOT_PAIR,KSM-USDT,exchange,binance,tardis,crypto,2020-09-16T00:00:00.000Z,,"trades,book_snapshot_5",KSM,USDT,USDT,ksmusdt,ksmusdt,False,,,,,0.01,,0.001,KSM/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:UNI-USDT,BINANCE-SPOT,SPOT_PAIR,UNI-USDT,exchange,binance,tardis,crypto,2020-09-17T00:00:00.000Z,,"trades,book_snapshot_5",UNI,USDT,USDT,uniusdt,uniusdt,False,,,,,0.001,,0.01,UNI/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:STORJ-USDT,BINANCE-SPOT,SPOT_PAIR,STORJ-USDT,exchange,binance,tardis,crypto,2020-09-17T00:00:00.000Z,,"trades,book_snapshot_5",STORJ,USDT,USDT,storjusdt,storjusdt,False,,,,,0.0001,,1.0,STORJ/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:OXT-USDT,BINANCE-SPOT,SPOT_PAIR,OXT-USDT,exchange,binance,tardis,crypto,2020-09-22T00:00:00.000Z,,"trades,book_snapshot_5",OXT,USDT,USDT,oxtusdt,oxtusdt,False,,,,,0.0001,,1.0,OXT/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:AVAX-USDT,BINANCE-SPOT,SPOT_PAIR,AVAX-USDT,exchange,binance,tardis,crypto,2020-09-22T00:00:00.000Z,,"trades,book_snapshot_5",AVAX,USDT,USDT,avaxusdt,avaxusdt,False,,,,,0.01,,0.01,AVAX/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:FLM-USDT,BINANCE-SPOT,SPOT_PAIR,FLM-USDT,exchange,binance,tardis,crypto,2020-09-30T00:00:00.000Z,,"trades,book_snapshot_5",FLM,USDT,USDT,flmusdt,flmusdt,False,,,,,0.0001,,1.0,FLM/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:NEAR-USDT,BINANCE-SPOT,SPOT_PAIR,NEAR-USDT,exchange,binance,tardis,crypto,2020-10-14T00:00:00.000Z,,"trades,book_snapshot_5",NEAR,USDT,USDT,nearusdt,nearusdt,False,,,,,0.001,,0.1,NEAR/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:AAVE-USDT,BINANCE-SPOT,SPOT_PAIR,AAVE-USDT,exchange,binance,tardis,crypto,2020-10-16T00:00:00.000Z,,"trades,book_snapshot_5",AAVE,USDT,USDT,aaveusdt,aaveusdt,False,,,,,0.01,,0.001,AAVE/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:FIL-USDT,BINANCE-SPOT,SPOT_PAIR,FIL-USDT,exchange,binance,tardis,crypto,2020-10-17T00:00:00.000Z,,"trades,book_snapshot_5",FIL,USDT,USDT,filusdt,filusdt,False,,,,,0.001,,0.01,FIL/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:RSR-USDT,BINANCE-SPOT,SPOT_PAIR,RSR-USDT,exchange,binance,tardis,crypto,2020-10-19T00:00:00.000Z,,"trades,book_snapshot_5",RSR,USDT,USDT,rsrusdt,rsrusdt,False,,,,,1e-06,,0.1,RSR/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:BEL-USDT,BINANCE-SPOT,SPOT_PAIR,BEL-USDT,exchange,binance,tardis,crypto,2020-11-18T00:00:00.000Z,,"trades,book_snapshot_5",BEL,USDT,USDT,belusdt,belusdt,False,,,,,0.0001,,0.1,BEL/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:CTK-USDT,BINANCE-SPOT,SPOT_PAIR,CTK-USDT,exchange,binance,tardis,crypto,2020-11-19T00:00:00.000Z,,"trades,book_snapshot_5",CTK,USDT,USDT,ctkusdt,ctkusdt,False,,,,,0.0001,,0.1,CTK/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:AXS-USDT,BINANCE-SPOT,SPOT_PAIR,AXS-USDT,exchange,binance,tardis,crypto,2020-11-20T00:00:00.000Z,,"trades,book_snapshot_5",AXS,USDT,USDT,axsusdt,axsusdt,False,,,,,0.001,,0.01,AXS/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:EUR-USDT,BINANCE-SPOT,SPOT_PAIR,EUR-USDT,exchange,binance,tardis,crypto,2020-11-27T00:00:00.000Z,,"trades,book_snapshot_5",EUR,USDT,USDT,eurusdt,eurusdt,False,,,,,0.0001,,0.1,EUR/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:AVA-USDT,BINANCE-SPOT,SPOT_PAIR,AVA-USDT,exchange,binance,tardis,crypto,2020-11-27T00:00:00.000Z,,"trades,book_snapshot_5",AVA,USDT,USDT,avausdt,avausdt,False,,,,,0.0001,,0.1,AVA/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:UTK-USDT,BINANCE-SPOT,SPOT_PAIR,UTK-USDT,exchange,binance,tardis,crypto,2020-11-27T00:00:00.000Z,,"trades,book_snapshot_5",UTK,USDT,USDT,utkusdt,utkusdt,False,,,,,1e-05,,1.0,UTK/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:SKL-USDT,BINANCE-SPOT,SPOT_PAIR,SKL-USDT,exchange,binance,tardis,crypto,2020-12-01T00:00:00.000Z,,"trades,book_snapshot_5",SKL,USDT,USDT,sklusdt,sklusdt,False,,,,,1e-05,,1.0,SKL/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:GRT-USDT,BINANCE-SPOT,SPOT_PAIR,GRT-USDT,exchange,binance,tardis,crypto,2020-12-19T00:00:00.000Z,,"trades,book_snapshot_5",GRT,USDT,USDT,grtusdt,grtusdt,False,,,,,1e-05,,1.0,GRT/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:CHZ-USDT,BINANCE-SPOT,SPOT_PAIR,CHZ-USDT,exchange,binance,tardis,crypto,2020-12-28T00:00:00.000Z,,"trades,book_snapshot_5",CHZ,USDT,USDT,chzusdt,chzusdt,False,,,,,1e-05,,1.0,CHZ/USDT,binance,,,,
