instrument_key,venue,instrument_type,symbol,venue_type,tardis_exchange,data_provider,asset_class,available_from_datetime,available_to_datetime,data_types,base_asset,quote_asset,settle_asset,exchange_raw_symbol,tardis_symbol,inverse,strike,option_type,expiry,contract_size,tick_size,underlying,min_size,ccxt_symbol,ccxt_exchange,base_asset_contract_address,quote_asset_contract_address,pool_address,pool_fee_tier
BINANCE-FUTURES:PERPETUAL:JOE-USDT@LIN,BINANCE-FUTURES,PERPETUAL,JOE-USDT@LIN,exchange,binance-futures,tardis,crypto,2023-03-29T00:00:00.000Z,,"trades,book_snapshot_5,derivative_ticker,liquidations",JOE,USDT,USDT,joeusdt,joeusdt,False,,,,,0.0001,JOE-USDT,0.01,JOE/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:RDNT-USDT@LIN,BINANCE-FUTURES,PERPETUAL,RDNT-USDT@LIN,exchange,binance-futures,tardis,crypto,2023-04-05T00:00:00.000Z,,"trades,book_snapshot_5,derivative_ticker,liquidations",RDNT,USDT,USDT,rdntusdt,rdntusdt,False,,,,,1e-05,RDNT-USDT,1.0,RDNT/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:HFT-USDT@LIN,BINANCE-FUTURES,PERPETUAL,HFT-USDT@LIN,exchange,binance-futures,tardis,crypto,2023-04-06T00:00:00.000Z,,"trades,book_snapshot_5,derivative_ticker,liquidations",HFT,USDT,USDT,hftusdt,hftusdt,False,,,,,0.0001,HFT-USDT,0.1,HFT/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:XVS-USDT@LIN,BINANCE-FUTURES,PERPETUAL,XVS-USDT@LIN,exchange,binance-futures,tardis,crypto,2023-04-13T00:00:00.000Z,,"trades,book_snapshot_5,derivative_ticker,liquidations",XVS,USDT,USDT,xvsusdt,xvsusdt,False,,,,,0.01,XVS-USDT,0.01,XVS/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:BLUR-USDT@LIN,BINANCE-FUTURES,PERPETUAL,BLUR-USDT@LIN,exchange,binance-futures,tardis,crypto,2023-04-28T00:00:00.000Z,,"trades,book_snapshot_5,derivative_ticker,liquidations",BLUR,USDT,USDT,blurusdt,blurusdt,False,,,,,1e-05,BLUR-USDT,0.1,BLUR/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:EDU-USDT@LIN,BINANCE-FUTURES,PERPETUAL,EDU-USDT@LIN,exchange,binance-futures,tardis,crypto,2023-04-30T00:00:00.000Z,,"trades,book_snapshot_5,derivative_ticker,liquidations",EDU,USDT,USDT,eduusdt,eduusdt,False,,,,,0.0001,EDU-USDT,1.0,EDU/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:SUI-USDT@LIN,BINANCE-FUTURES,PERPETUAL,SUI-USDT@LIN,exchange,binance-futures,tardis,crypto,2023-05-03T00:00:00.000Z,,"trades,book_snapshot_5,derivative_ticker,liquidations",SUI,USDT,USDT,suiusdt,suiusdt,False,,,,,0.0001,SUI-USDT,0.1,SUI/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:UMA-USDT@LIN,BINANCE-FUTURES,PERPETUAL,UMA-USDT@LIN,exchange,binance-futures,tardis,crypto,2023-05-10T00:00:00.000Z,,"trades,book_snapshot_5,derivative_ticker,liquidations",UMA,USDT,USDT,umausdt,umausdt,False,,,,,0.001,UMA-USDT,0.1,UMA/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:BAKE-USDT@LIN,BINANCE-FUTURES,PERPETUAL,BAKE-USDT@LIN,exchange,binance-futures,tardis,crypto,2021-05-19T00:00:00.000Z,2025-10-04T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",BAKE,USDT,USDT,bakeusdt,bakeusdt,False,,,,,0.0001,BAKE-USDT,0.1,BAKE/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:ALPHA-USDT@LIN,BINANCE-FUTURES,PERPETUAL,ALPHA-USDT@LIN,exchange,binance-futures,tardis,crypto,2020-11-23T00:00:00.000Z,2025-09-24T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",ALPHA,USDT,USDT,alphausdt,alphausdt,False,,,,,0.0001,ALPHA-USDT,1.0,ALPHA/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:MKR-USDT@LIN,BINANCE-FUTURES,PERPETUAL,MKR-USDT@LIN,exchange,binance-futures,tardis,crypto,2020-08-13T00:00:00.000Z,2025-09-09T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",MKR,USDT,USDT,mkrusdt,mkrusdt,False,,,,,0.1,MKR-USDT,0.0001,MKR/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:LEVER-USDT@LIN,BINANCE-FUTURES,PERPETUAL,LEVER-USDT@LIN,exchange,binance-futures,tardis,crypto,2023-03-30T00:00:00.000Z,2025-09-04T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",LEVER,USDT,USDT,leverusdt,leverusdt,False,,,,,1e-06,LEVER-USDT,1.0,LEVER/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:EOS-USDT@LIN,BINANCE-FUTURES,PERPETUAL,EOS-USDT@LIN,exchange,binance-futures,tardis,crypto,2020-01-08T00:00:00.000Z,2025-05-23T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",EOS,USDT,USDT,eosusdt,eosusdt,False,,,,,0.0001,EOS-USDT,0.1,EOS/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:BAL-USDT@LIN,BINANCE-FUTURES,PERPETUAL,BAL-USDT@LIN,exchange,binance-futures,tardis,crypto,2020-09-01T00:00:00.000Z,2025-04-15T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",BAL,USDT,USDT,balusdt,balusdt,False,,,,,0.001,BAL-USDT,0.01,BAL/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:LINA-USDT@LIN,BINANCE-FUTURES,PERPETUAL,LINA-USDT@LIN,exchange,binance-futures,tardis,crypto,2021-03-19T00:00:00.000Z,2025-03-28T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",LINA,USDT,USDT,linausdt,linausdt,False,,,,,1e-06,LINA-USDT,1.0,LINA/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:BNX-USDT@LIN,BINANCE-FUTURES,PERPETUAL,BNX-USDT@LIN,exchange,binance-futures,tardis,crypto,2022-04-01T00:00:00.000Z,2025-03-18T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",BNX,USDT,USDT,bnxusdt,bnxusdt,False,,,,,0.0001,BNX-USDT,0.1,BNX/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:STMX-USDT@LIN,BINANCE-FUTURES,PERPETUAL,STMX-USDT@LIN,exchange,binance-futures,tardis,crypto,2021-03-22T00:00:00.000Z,2025-02-23T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",STMX,USDT,USDT,stmxusdt,stmxusdt,False,,,,,1e-06,STMX-USDT,1.0,STMX/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:AMB-USDT@LIN,BINANCE-FUTURES,PERPETUAL,AMB-USDT@LIN,exchange,binance-futures,tardis,crypto,2023-03-30T00:00:00.000Z,2025-02-23T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",AMB,USDT,USDT,ambusdt,ambusdt,False,,,,,1e-05,AMB-USDT,1.0,AMB/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:OMG-USDT@LIN,BINANCE-FUTURES,PERPETUAL,OMG-USDT@LIN,exchange,binance-futures,tardis,crypto,2020-07-02T00:00:00.000Z,2025-02-02T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",OMG,USDT,USDT,omgusdt,omgusdt,False,,,,,0.001,OMG-USDT,0.1,OMG/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:LIT-USDT@LIN,BINANCE-FUTURES,PERPETUAL,LIT-USDT@LIN,exchange,binance-futures,tardis,crypto,2021-02-18T00:00:00.000Z,2025-02-02T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",LIT,USDT,USDT,litusdt,litusdt,False,,,,,0.001,LIT-USDT,0.1,LIT/USDT,binance,,,,
